date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:49	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222a654a909351d31:0%22	https://domicilio.campero.com/Content/fonts/slick.eot	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/slick.eot	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:49	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222a654a909351d31:0%22	https://domicilio.campero.com/Content/fonts/slick.eot?	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/slickd41d.eot	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:50	1380/1380	---M--	200	added ('OK')	font/x-woff	etag:%2246bd0909351d31:0%22	https://domicilio.campero.com/Content/fonts/slick.woff	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/slick.woff	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:51	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%2252a8a0909351d31:0%22	https://domicilio.campero.com/Content/fonts/slick.ttf	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/slick.ttf	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:52	2166/2166	---M--	200	added ('OK')	image/svg+xml	etag:%2252d28c909351d31:0%22	https://domicilio.campero.com/Content/fonts/slick.svg	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/slick.svg	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:53	57626/57626	---M--	200	added ('OK')	image/jpeg	etag:%227df464a19351d31:0%22	https://domicilio.campero.com/Content/img/wood-compressor.jpg	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/wood-compressor.jpg	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:54	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ebff558f9351d31:0%22	https://domicilio.campero.com/Content/fonts/fontawesome-webfont.eot?v=4.7.0	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/fontawesome-webfont3e6e.eot	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:55	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ebff558f9351d31:0%22	https://domicilio.campero.com/Content/fonts/fontawesome-webfont.eot?	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/fontawesome-webfontd41d.eot	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:55	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Nov%202017%2021:12:52%20GMT	https://domicilio.campero.com/Content/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/fontawesome-webfont.413e6e.delayed	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:56	98024/98024	---M--	200	added ('OK')	font/x-woff	etag:%22cbd113909351d31:0%22	https://domicilio.campero.com/Content/fonts/fontawesome-webfont.woff?v=4.7.0	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/fontawesome-webfont3e6e.woff	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:57	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%229f37be8f9351d31:0%22	https://domicilio.campero.com/Content/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/fontawesome-webfont3e6e.ttf	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:12:59	106353/106353	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://domicilio.campero.com/bundles/camperojs?v=fXNiJNSQlYRyILeoCY9oE3Y-CoS4WgIMsFcDkaHFLzM1	/home/broly/websites/pagina_viajero/domicilio.campero.com/bundles/camperojsdb69	(from https://domicilio.campero.com/)
